time/time_elapsed,time/iterations,train/reward,time/total_timesteps,time/fps,train/std,train/clip_fraction,train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/n_updates,train/entropy_loss
70,78,7.5604415,159744,2265,1.02116060256958,0.01005859375,0.00025,369.77593994140625,-9.474221005802974e-05,561.7758859634399,0.0014813708,0.5017728209495544,0.2,770,-1.4383216619491577
71,79,-5.219808,161792,2266,1.0243173837661743,0.0017578125,0.00025,65.01898193359375,-0.00014598886482417584,165.97247819900514,0.0014849239,0.690654844045639,0.2,780,-1.441073191910982
72,80,1.3753395,163840,2267,1.0172967910766602,0.01689453125,0.00025,244.07846069335938,-0.001912968565011397,432.2319010257721,0.0047065443,0.5465412735939026,0.2,790,-1.4393019497394561
73,81,16.176058,165888,2267,1.0098367929458618,0.01865234375,0.00025,243.20579528808594,0.00010072945879073814,587.3683730125427,0.0008520384,0.5082222521305084,0.2,800,-1.4326928667724133
74,82,1.5566835,167936,2268,1.0059641599655151,0.02724609375,0.00025,136.58389282226562,-0.0021794526495796164,333.3816843509674,0.004496812,0.3948975205421448,0.2,810,-1.4269471436738967
74,83,2.5545526,169984,2269,1.0088738203048706,0.0162109375,0.00025,266.50372314453125,-0.001168300028075464,361.35851964950564,0.0037899038,0.5848982632160187,0.2,820,-1.4262945882976055
75,84,-15.054274,172032,2269,1.0133672952651978,0.001318359375,0.00025,427.4427795410156,-4.96657972689718e-05,623.8817975997924,0.001088057,0.5082341134548187,0.2,830,-1.4294162958860397
76,85,2.288939,174080,2270,1.0122102499008179,0.01640625,0.00025,348.0265808105469,-0.0006089083413826302,624.6815455436706,0.0028642872,0.21649295091629028,0.2,840,-1.4319812767207623
77,86,-0.2973654,176128,2271,1.020788550376892,0.020947265625,0.00025,18.966678619384766,-0.001564908414729871,96.20556678771973,0.0035362353,0.8307010531425476,0.2,850,-1.435024667531252
78,87,-0.013357937,178176,2272,1.0170819759368896,0.007177734375,0.00025,238.0430145263672,0.00010871463528019376,612.388703918457,0.0018753606,0.5239537954330444,0.2,860,-1.4382333293557168
79,88,2.8300855,180224,2272,1.010650873184204,0.03173828125,0.00025,242.36593627929688,-0.0018964712820888963,639.1430997848511,0.002246283,0.18594282865524292,0.2,870,-1.4339257292449474
80,89,0.62340146,182272,2273,1.0160917043685913,0.005517578125,0.00025,32.812103271484375,-0.00027201580815017223,53.25058808326721,0.0010875037,0.8914477527141571,0.2,880,-1.4314136773347854
81,90,-0.0060494104,184320,2272,1.01535165309906,0.02509765625,0.00025,389.72113037109375,-0.0023826638876926153,617.611552810669,0.0027964704,0.4999885559082031,0.2,890,-1.4348751582205295
82,91,1.4176114,186368,2272,1.01560640335083,0.035986328125,0.00025,489.0125427246094,-0.0018050792627036572,683.7460445404053,0.005231878,0.21588146686553955,0.2,900,-1.433837031573057
82,92,4.213856,188416,2273,1.0083330869674683,0.022021484375,0.00025,29.048255920410156,-0.0010247061145491898,55.29502897262573,0.0030187026,0.8750514015555382,0.2,910,-1.431180875748396
83,93,0.17448032,190464,2273,1.0048611164093018,0.000439453125,0.00025,201.33518981933594,1.9067306129727513e-05,635.4071950912476,0.0012427119,0.49485647678375244,0.2,920,-1.424775592237711
84,94,0.45370287,192512,2274,1.0003854036331177,0.038037109375,0.00025,314.6976318359375,-0.0009621135657653212,660.9428730010986,0.0032531049,0.29852980375289917,0.2,930,-1.4219891786575318
85,95,-0.60684603,194560,2274,1.0054785013198853,0.02412109375,0.00025,39.95804214477539,-0.0018136803148081527,66.0663421869278,0.003937869,0.8631602078676224,0.2,940,-1.4221405141055583
86,96,0.13898286,196608,2275,1.0047158002853394,0.0052734375,0.00025,460.1797790527344,-0.00036198666784912346,608.5646322250366,0.0017415658,0.49892425537109375,0.2,950,-1.424320463091135
87,97,1.07642,198656,2275,0.9987258315086365,0.01748046875,0.00025,344.1046142578125,-0.000914336956338957,677.124267578125,0.0045986874,0.34925341606140137,0.2,960,-1.420513516664505
88,98,-1.7478617,200704,2276,0.9885668754577637,0.008154296875,0.00025,21.04117774963379,-0.0007750516771920957,79.1099484205246,0.0028837821,0.8313270956277847,0.2,970,-1.4131087467074395
